file,text,speaker_id
0000.wav,"əl pɾəzˈem bulˈum əplˈɛɣə pɾˈɔb də βˈintisˈiŋ mˈil rəfɾˈaɲʒ ðifəɾˈens kə sˌupˈɛɾən əlz βˈintisˈiz mˈilz i sumˈɛm ləz βəɾiˈanz nˈo numəɾˈaðəs",99
0001.wav,"kə kuɱfiɣˈuɾən əl rəpərtˈɔɾi pəɾəmiulˈɔʒiɡ mˈes kumplˈɛd də lˈaɾeə kətəlˈanə",99
0002.wav,"əkˈɛdz rəfɾˈaɲʒ ˈan əstˈad rəkuʎˈidz ðə ləs fˈɔnz βiβliuɣɾˈafikəz indikˈaðəz əl finˈal dəkˈɛstə jntɾuðuksiˈo",99
0004.wav,"ˈɛm kləsifikˈat təmˈatikəmˈen əl rəfɾˈaɲʒ ən tɾˈedzə kəpˈitulz ðiβiðˈidz ən əpərtˈadz j ən əlɣˈuŋ kˈas supəpərtˈadz j urðənˈadz əʃˈi",99
0005.wav,"əl kəpˈitul ˈu əl tˈemz məteuɾulˈɔʒik",99
0006.wav,"əstˈa əstɾuktuɾˈat əm bˈujt əpərtˈats",99
0007.wav,"əl sˈɛl",99
0008.wav,"əl sˈɔl",99
0009.wav,"əlz ʎˈamz j əls tɾˈɔns",99
0010.wav,"əlz βˈenz ən ʒənəɾˈal j əls tˈipuz ðə βˈeŋ kˈɔm ˈaɾə lə tɾəmuntˈanə əl məstɾˈal əʎ ʎəβˈɛd‍ʒ ətsˈɛtəɾə lˈarɡ də sˈam mərtˈi lə ʎˈunə j ləs fˈasis",99
0011.wav,"lə plˈuʒə j ˈaltɾəs",99
0012.wav,"əm lə rˈestə ðə rəfɾˈaɲʃ kə tɾˈaktən dəl tˈemz ðˈez ðəl pˈun də βˈistə ðə lə məteuɾuluʒˈiə",99
0013.wav,"dəls fənˈɔmənz əmmusfˈɛɾiɡz ðə ləstˈad dəl sˈɛl ˈez ə ðˈi əls kə kˈon",99
0014.wav,"kunsərnˈɛʃən əlz əstˈɛlz lə βˈɔjɾə lə nˈew",99
0015.wav,"ləz rələsiˈonz ˈentɾə əls fənˈɔmənz əmmusfˈɛɾiɡz i ləs pərsˈonəs",99
0016.wav,"əlz ufˈisiz əlz ənimˈalz i lə nətˈuɾə",99
0017.wav,"əlz ələmˈenz nətuɾˈals kˈɔm pəɾ əɡzˈemplə lˈajɣwə j əl fˈɔɡ ləs sənsəsiˈonz ðə kəlˈo i fɾˈɛt əl βˈɔn tˈemz j əl mˈal tˈems",99
0018.wav,"kˈal ədbərtˈi kə ləz əksplikəsiˈons k əl rəfɾəɲˈe ənz ðˈonə sˈoβɾə ləz ʎˈejs kə rəʒˈɛʃən əls fənˈɔmənz əmmusfˈɛɾiɡz nˈo sˈom pˈas siəntˈifikəs",99
0019.wav,"sinˈo fɾˈujd ɡəjɾəβˈe sˈempɾə ðə ləs kɾəˈɛnsəz ˈɔ ləs sˈeβəz intuisiˈons pupulˈars",99
